北京嗨学网教育科技股份有限公司,5860991,数据分析师,本科,1-3年,10k-14k,北京,500-2000人,D轮及以上,准上市公司、千万级账户、弹性工作、高奖金,1天前发布
广州市梦享网络技术有限公司,5941625,数据分析师,大专,1-3年,8k-14k,深圳,50-150人,B轮,绩效奖金；股票期权；扁平管理；周末双休,1天前发布
广州幸福家科技有限公司,5587569,数据分析师,本科,1-3年,8k-15k,广州,150-500人,不需要融资,"行业大咖,阿里巴巴,新媒体广告",1天前发布
广州数说故事信息科技有限公司,4739438,数据分析师,本科,1-3年,12k-20k,北京,150-500人,B轮,"颜值高,氛围好,周末双休",1天前发布
广州明动软件股份有限公司,5743333,数据分析师,本科,1-3年,8k-11k,广州,150-500人,不需要融资,五险一金，餐饮补贴，周末双休，社团活动,1天前发布
北京云动九天科技有限公司,5935757,数据分析师（增长方向）,本科,5-10年,25k-50k,北京,150-500人,C轮,成长空间、技能提升、免费三餐,1天前发布
塞纳德（北京）信息技术有限公司,5864828,数据分析师（资源分析）,本科,3-5年,15k-20k,北京,500-2000人,不需要融资,"六险一金,全薪病假,办公环境棒",1天前发布
长沙蜜獾信息科技有限公司,5940890,数据分析师,本科,1-3年,5k-9k,长沙,150-500人,不需要融资,五险一金，带薪年假 中餐补贴，交通补贴,1天前发布
深圳蓝贝科技有限公司,5951575,数据分析师,本科,3-5年,20k-30k,深圳,500-2000人,C轮,六险一金 下午茶 全勤奖 年终奖,1天前发布
宝宝巴士（福建）网络科技有限公司,5715772,数据分析师,本科,3-5年,8k-16k,福州,500-2000人,B轮,五险一金 周末双休 年度体检,1天前发布
上海莉莉丝科技股份有限公司,5762557,数据分析师,本科,1-3年,12k-24k,上海,150-500人,不需要融资,"弹性工作,福利待遇好,工作氛围好",1天前发布
成都聚思力信息技术有限公司,5246226,大数据分析师,本科,1-3年,15k-25k,成都,500-2000人,上市公司,"五险一金,9天年假起,旅游补贴,医疗报销",1天前发布
北京心更远科技发展有限公司,5895438,数据分析师 (MJ000438),本科,1年以下,15k-25k,北京,500-2000人,C轮,高薪资，福利多多，晋升空间大,1天前发布
浙江霖梓控股有限公司,4746664,数据分析师,本科,3-5年,8k-15k,杭州,150-500人,B轮,"福利多多,弹性工作,晋升发展,五险一金",1天前发布
深圳市随手科技有限公司,5420463,数据分析师,本科,3-5年,13k-25k,深圳,500-2000人,C轮,团队氛围好，发展空间大,1天前发布
广州数说故事信息科技有限公司,5341243,数据分析师,本科,1-3年,10k-20k,上海,150-500人,B轮,五险一金 周末双休 扁平管理,1天前发布
算话智能科技有限公司,4957675,数据分析师,本科,1-3年,12k-16k,上海,50-150人,B轮,"绩效奖金,福利津贴,交通补贴,假日福利",1天前发布
重庆迅游科技有限公司,5813773,数据分析师,大专,3-5年,15k-30k,重庆,150-500人,不需要融资,"五险一金,交通补贴,年底双薪,餐费补贴",1天前发布
北京下厨房科技有限公司,5827281,数据分析师,本科,1-3年,14k-20k,北京,50-150人,B轮,"带薪年假多,免费午餐,弹性时间",1天前发布
北京易观智库网络科技有限公司,5899704,数据分析师,不限,5-10年,20k-35k,北京,150-500人,B轮,互联网大数据领先品牌 六险一金 弹性工作,1天前发布
浙江森马电子商务有限公司,2382205,数据分析师,本科,1-3年,8k-12k,杭州,500-2000人,上市公司,双休 五险一金 假期长 扁平化管理,1天前发布
深圳蓝贝科技有限公司,5798240,数据分析,本科,3-5年,12k-20k,深圳,500-2000人,C轮,年终奖、跨国平台、朝阳行业,1天前发布
北京微聚未来科技有限公司,5639625,数据分析师,本科,1-3年,10k-20k,北京,500-2000人,不需要融资,七险一金、15-20薪、牛人团队,1天前发布
深圳市库盒科技有限公司,5611937,数据分析师,本科,3-5年,15k-25k,深圳,150-500人,B轮,周末双休，下午茶零食，团建旅游,1天前发布
上海别样秀数据科技有限公司,4687784,数据分析师,本科,1-3年,15k-25k,上海,150-500人,B轮,"工程师文化,美式管理,弹性工作,福利优厚",1天前发布
南京蓝鲸人网络科技有限公司,5924383,数据分析,本科,3-5年,20k-40k,北京,50-150人,B轮,六险一金 期权股票 晚餐 下午茶,1天前发布
上海数禾信息科技有限公司,5804640,数据分析师,本科,3-5年,15k-30k,上海,500-2000人,B轮,"移动金融,未来金矿,精英团队,助力成长",1天前发布
小小黛朵（北京）科技有限公司,4916502,数据分析,本科,3-5年,15k-25k,北京,150-500人,B轮,"五险一金,节日福利,晋升空间大,弹性工作",1天前发布
广州市巴图鲁信息科技有限公司,5540455,数据分析师,本科,1-3年,7k-10k,广州,500-2000人,C轮,五险一金；带薪假期；,1天前发布
北京造化科技有限公司,4057574,数据分析师,本科,5-10年,10k-15k,北京,150-500人,B轮,"广阔空间,年轻团队,欢乐氛围",1天前发布
格上出行服务有限公司,5840481,数据分析师,大专,不限,4k-6k,杭州,500-2000人,不需要融资,周末双休 五险一金 加班补助 员工旅游,1天前发布
北京心更远科技发展有限公司,5247557,数据分析师,本科,1-3年,15k-20k,北京,500-2000人,C轮,七险一金,1天前发布
北京高因科技有限公司,5452870,数据分析师,本科,1-3年,10k-15k,北京,500-2000人,B轮,大平台 发展快,1天前发布
神策网络科技（北京）有限公司,4757428,数据分析师-上海,本科,3-5年,15k-25k,上海,150-500人,C轮,"五险一金,午餐补助,补充医疗,14薪",1天前发布
深圳市路通网络技术有限公司,5592108,数据分析员,本科,1-3年,10k-15k,深圳,500-2000人,不需要融资,五险一金 带薪培训 免费体检,1天前发布
混沌时代（北京）教育科技有限公司,5515756,数据分析师,本科,3-5年,15k-30k,北京,150-500人,不需要融资,"弹性工作,六险一金,年度体检,学习氛围",1天前发布
杭州嘉云数据科技有限公司,4467010,数据分析师（BI）,本科,1-3年,8k-15k,杭州,150-500人,C轮,"精英团队,发展空间,海量数据",1天前发布
深圳市随手科技有限公司,5845522,数据分析师,本科,1-3年,8k-15k,深圳,500-2000人,C轮,"节日福利多,涨薪快,平台大,晋升空间大",1天前发布
百融云创科技股份有限公司,5031061,数据分析师,本科,应届毕业生,10k-20k,北京,500-2000人,C轮,"年度旅游,带薪休假,绩效奖励,五险一金",1天前发布
北京水滴互联科技有限公司,5279194,数据分析师,本科,1-3年,10k-20k,北京,500-2000人,B轮,"年底双薪,股票期权,扁平管理,晋升快",1天前发布
深圳晶泰科技有限公司,5762588,数据分析师,硕士,不限,10k-15k,深圳,50-150人,B轮,扁平管理、年底双薪、年终奖、无加班文化,1天前发布
广州悦跑信息科技有限公司,5440507,数据分析师（中级）,本科,1-3年,8k-15k,广州,150-500人,C轮,五险一金，周末双休，公司氛围好,1天前发布
北京嘟嘟一下科技有限公司,5762565,数据分析师,本科,1-3年,10k-15k,北京,50-150人,B轮,期权股票 租房补助,1天前发布
广州筷子信息科技有限公司,5390760,数据分析师,本科,1-3年,6k-10k,广州,50-150人,B轮,氛围好 空间大 领导好 人工智能,1天前发布
威比网络科技（上海）有限公司,4916008,数据分析师,大专,1-3年,6k-10k,上海,2000人以上,C轮,"优秀团队,早餐水果,节日福利",1天前发布
混沌时代（北京）教育科技有限公司,5167551,数据分析师,本科,3-5年,15k-30k,北京,150-500人,不需要融资,"弹性工作,六险一金,年度体检,学习氛围",1天前发布
百融云创科技股份有限公司,5030681,数据分析师,本科,应届毕业生,10k-20k,北京,500-2000人,C轮,"带薪休假,年度旅游,五险一金,绩效奖励",1天前发布
广州悦跑信息科技有限公司,5440536,数据分析师（初级）,本科,1年以下,4k-8k,广州,150-500人,C轮,五险一金，周末双休，公司氛围好,1天前发布
杭州好一库网络科技有限公司,5719370,数据分析师,本科,不限,12k-24k,杭州,150-500人,B轮,氛围好 五险一金 福利好 准独角兽企业,1天前发布
深圳市随手科技有限公司,5525274,数据分析师（上海）,本科,1-3年,13k-25k,上海,500-2000人,C轮,发展空间大,1天前发布
上海韩创网络科技有限公司,5750986,数据分析师,本科,1-3年,15k-20k,上海,500-2000人,不需要融资,发展空间，晋升，期权分红，年终奖，,1天前发布
北京一览科技有限公司,3760775,数据分析师,本科,1-3年,20K-40K,北京,150-500人,B轮,待遇优厚,1天前发布
北京纯粹旅行有限公司,5483537,数据分析师,本科,1-3年,12k-22k,北京,150-500人,C轮,带薪休假，年底多薪，定期体检，公司环境佳,1天前发布
精硕科技（北京）股份有限公司,5760999,数据分析师(J10156),本科,1年以下,6k-10k,上海,500-2000人,不需要融资,空间大 平台好 福利多,1天前发布
北京鼎阅广告传媒有限责任公司,5628466,数据分析师（高级）,本科,3-5年,20k-25k,北京,150-500人,不需要融资,地铁周边 导师1对1 零食 下午茶,1天前发布
北京新东方迅程网络科技股份有限公司,5339102,数据分析师,本科,3-5年,15k-30k,北京,500-2000人,不需要融资,"地铁周边,发展空间",1天前发布
上海中彦信息科技股份有限公司,5918327,数据分析师,本科,1-3年,10k-20k,上海,500-2000人,C轮,"福利待遇好,工作环境优,六险一金",1天前发布
北京妙医佳信息技术有限公司,5754075,数据分析师,本科,1-3年,15k-30k,北京,150-500人,C轮,六险一金，福利健全，平台发展前景好,1天前发布
深圳数位传媒科技有限公司,4864988,数据分析师,本科,5-10年,20k-30k,深圳,150-500人,B轮,"14薪起,股票期权,技术大牛,氛围融洽",1天前发布
北京沃丰时代数据科技有限公司,5210317,数据分析,本科,3-5年,20k-40k,北京,150-500人,C轮,"团队强悍,待遇丰厚,地铁周边",1天前发布
百融云创科技股份有限公司,5031502,数据分析师,本科,应届毕业生,10k-20k,上海,500-2000人,C轮,"年底双薪,带薪年假,年度旅游,绩效奖励",1天前发布
