职位名称,公司全名,公司简称,公司规模,城市,区域,工作经验,学历要求,工资,融资阶段,职位福利
java工程师,北京金堤科技有限公司,天眼查,150-500人,北京,海淀区,5-10年,本科,20k-40k,A轮,"诱人的平台,超牛的技术,超棒的领导"
高级java开发工程师,北京旷视科技有限公司,旷视MEGVII,500-2000人,北京,海淀区,5-10年,本科,20k-40k,D轮及以上,大牛云集，弹性工作
Java开发工程师,珠海随变科技有限公司,必要商城,150-500人,北京,朝阳区,3-5年,本科,18k-35k,不需要融资,"首家C2M,六险一金,盈利平台"
java开发工程师,无线生活（北京）信息技术有限公司,微店,500-2000人,北京,朝阳区,3-5年,不限,25k-35k,C轮,工作氛围好 福利佳 技术大牛多
java开发工程师（中高级）,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,3-5年,本科,15k-30k,不需要融资,年底双薪，地铁周边，股权激励，餐补
java开发工程师（达美中心）,深圳市赢时胜信息技术股份有限公司,赢时胜软件,500-2000人,北京,朝阳区,1-3年,本科,8k-16k,上市公司,"上市公司,金融项目,平台稳定，发展空间大"
JAVA开发工程师,北京纯粹旅行有限公司,皇包车,150-500人,北京,朝阳区,3-5年,不限,15k-25k,C轮,超棒公司环境 超多免费零食
java开发（游戏）,北京有爱互娱科技有限公司,有爱互娱,150-500人,北京,海淀区,5-10年,大专,20k-35k,B轮,牛逼团队 大IP
java,北京数美时代科技有限公司,数美,150-500人,北京,朝阳区,应届毕业生,本科,15k-25k,B轮,"快速发展,人工智能,大数据,待遇好"
java开发工程师,泰康保险集团股份有限公司,泰康保险集团,2000人以上,北京,海淀区,5-10年,不限,20k-30k,不需要融资,五险一金、公司班车、福利优厚、带薪休假
java中级开发工程师（北京）,深圳市雪球科技有限公司,雪球科技,50-150人,北京,海淀区,3-5年,本科,12k-24k,B轮,"带薪假期,绩效奖金,定期旅游,节日福利"
Java开发工程师,北京万桥达观信息技术有限公司,everbridge,500-2000人,北京,东城区,3-5年,本科,20k-28k,上市公司,"上市外企,弹性工作制,六险一金,美国交流"
java开发工程师,苏州工业园区凌志软件股份有限公司,凌志软件,2000人以上,北京,海淀区,3-5年,本科,13k-16k,上市公司,上市公司，五险一金，下午茶，公司旅游
中高级JAVA工程师,北京金堤科技有限公司,天眼查,150-500人,北京,海淀区,3-5年,本科,15k-30k,A轮,"健全福利,技术精英,大数据,高新企业"
高级Java工程师,北京旷视科技有限公司,旷视MEGVII,500-2000人,北京,海淀区,5-10年,本科,15k-30k,D轮及以上,大牛多
java开发工程师（初级）,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,1-3年,本科,10k-15k,不需要融资,年底双薪，地铁周边，股权激励，餐补
java开发,北京数美时代科技有限公司,数美,150-500人,北京,朝阳区,应届毕业生,不限,10k-20k,B轮,"飞速发展,大牛多,年底双薪"
JAVA开发工程师,中信百信银行股份有限公司,百信银行,150-500人,北京,朝阳区,3-5年,本科,15k-30k,不需要融资,平台好
Java,北京酷我科技有限公司,酷我音乐,500-2000人,北京,朝阳区,3-5年,本科,15k-25k,不需要融资,"公司平台大,福利待遇棒,公司氛围好"
java,北京约牛科技有限公司,约牛科技,150-500人,北京,昌平区,5-10年,本科,15k-30k,不需要融资,"周末双休,带薪年假,节日礼物,员工旅游"
JAVA开发工程师（团结湖）,信和惠民投资管理（北京）有限公司,信和财富,2000人以上,北京,朝阳区,3-5年,本科,13k-24k,不需要融资,"五险一金,餐补,全勤奖,双休"
java开发工程师,北京看了吗视频信息技术有限公司,看了吗视频,50-150人,北京,朝阳区,3-5年,本科,23k-30k,A轮,移动互联网 视频
java开发工程师,武汉小象创意科技有限公司,芒果电单车,150-500人,北京,朝阳区,不限,本科,30k-40k,B轮,扁平化组织快速晋升股票期权五险一金
Java开发工程师,北京明略软件系统有限公司,明略数据,150-500人,北京,海淀区,1年以下,本科,15k-30k,C轮,大数据
